% naca0021 region sizes
regionsize	frequency
6	3.25
8	3.435
9	2.2
10	3.155
12	6.31
14	1.385
15	2.585
16	2.785
18	2.55
20	1.73
21	0.75
22	0.17
24	1.255
25	0.435
26	0.32
27	0.655
28	0.4
30	0.185
32	0.125
33	0.03
34	0.045
35	0.015
36	0.1
38	0.02
39	0.015
40	0.065
42	0.045
44	0.07
45	0.08
46	0.04
48	0.09
49	0.005
50	0.07
51	0.015
52	0.11
54	0.05
55	0.01
56	0.055
58	0.045
60	0.165
62	0.05
63	0.055
64	0.015
65	0.005
66	0.025
68	0.02
69	0.055
70	0.01
72	0.075
74	0.01
75	0.045
76	0.035
77	0.005
78	0.045
80	0.05
81	0.115
84	0.04
85	0.005
86	0.005
87	0.045
88	0.2
90	0.09
92	0.01
93	0.005
96	0.08
98	0.01
100	0.05
102	0.015
104	0.02
105	0.075
108	0.02
110	0.11
111	0.005
112	0.015
114	0.01
115	0.015
117	0.01
118	0.01
119	0.005
120	0.065
124	0.035
125	0.005
126	0.1
128	0.015
130	0.015
132	0.03
133	0.01
136	0.025
138	0.015
140	0.03
142	0.01
144	0.015
145	0.005
146	0.005
147	0.055
150	0.045
152	0.055
153	0.035
154	0.06
156	0.045
158	0.04
159	0.03
160	0.065
161	0.005
162	0.01
164	0.035
165	0.015
166	0.015
168	0.07
170	0.02
171	0.01
174	0.02
175	0.02
176	0.02
177	0.005
180	0.05
182	0.035
184	0.005
189	0.04
190	0.01
192	0.03
195	0.03
196	0.015
198	0.095
200	0.025
201	0.005
202	0.005
203	0.01
204	0.04
205	0.005
207	0.005
208	0.06
209	0.005
210	0.075
212	0.025
214	0.005
216	0.015
219	0.015
220	0.035
221	0.005
222	0.035
224	0.03
225	0.04
226	0.005
228	0.065
230	0.01
231	0.11
232	0.005
235	0.005
237	0.02
238	0.02
240	0.07
242	0.01
244	0.01
245	0.005
247	0.005
248	0.02
250	0.005
252	0.02
253	0.04
255	0.025
256	0.025
258	0.01
259	0.005
260	0.035
262	0.01
264	0.02
265	0.005
266	0.015
268	0.06
270	0.035
272	0.01
273	0.02
274	0.045
275	0.015
276	0.01
280	0.005
285	0.005
286	0.01
288	0.01
289	0.01
292	0.02
294	0.04
296	0.035
297	0.01
299	0.01
300	0.065
304	0.08
306	0.025
308	0.085
310	0.005
312	0.05
314	0.005
315	0.1
318	0.01
319	0.025
320	0.035
322	0.065
323	0.015
324	0.055
325	0.005
326	0.01
328	0.005
329	0.005
330	0.06
332	0.005
333	0.005
335	0.005
336	0.025
340	0.01
341	0.02
342	0.015
345	0.02
348	0.01
350	0.01
354	0.01
357	0.015
360	0.015
361	0.005
364	0.015
365	0.01
366	0.005
368	0.005
370	0.005
372	0.01
374	0.005
375	0.02
376	0.005
378	0.025
380	0.025
385	0.025
387	0.035
390	0.015
392	0.005
393	0.015
396	0.01
399	0.06
400	0.015
405	0.035
406	0.01
408	0.005
410	0.005
411	0.015
413	0.02
416	0.01
418	0.005
420	0.05
424	0.005
429	0.02
432	0.015
434	0.01
435	0.065
437	0.01
438	0.01
440	0.055
441	0.105
444	0.025
448	0.01
450	0.08
456	0.01
460	0.02
462	0.025
464	0.005
468	0.025
469	0.01
470	0.015
472	0.025
476	0.02
477	0.005
480	0.015
483	0.075
484	0.005
486	0.025
490	0.01
495	0.01
500	0.01
504	0.04
510	0.01
511	0.005
512	0.005
516	0.015
518	0.005
520	0.085
522	0.02
524	0.005
525	0.02
527	0.01
528	0.05
530	0.005
532	0.07
536	0.005
540	0.025
544	0.025
550	0.025
551	0.03
552	0.005
558	0.01
560	0.005
567	0.01
570	0.01
572	0.02
576	0.01
578	0.01
580	0.01
582	0.005
583	0.05
584	0.01
585	0.01
588	0.005
592	0.01
594	0.01
600	0.005
608	0.05
612	0.005
615	0.005
616	0.035
620	0.01
624	0.005
627	0.01
629	0.005
630	0.035
636	0.005
640	0.025
644	0.005
646	0.005
648	0.015
650	0.015
655	0.005
657	0.01
665	0.005
670	0.01
672	0.025
675	0.025
676	0.005
682	0.005
684	0.015
686	0.005
689	0.005
693	0.005
697	0.015
702	0.005
703	0.005
704	0.025
710	0.005
714	0.005
715	0.005
720	0.005
728	0.01
736	0.005
742	0.02
744	0.005
750	0.055
752	0.005
756	0.005
759	0.005
760	0.045
765	0.01
768	0.005
770	0.01
774	0.005
777	0.01
780	0.065
784	0.005
786	0.075
792	0.005
795	0.015
799	0.005
800	0.01
803	0.01
804	0.005
810	0.005
819	0.005
825	0.01
832	0.015
836	0.01
840	0.01
848	0.01
854	0.005
864	0.03
867	0.005
874	0.01
876	0.005
880	0.01
882	0.01
884	0.01
888	0.01
891	0.005
897	0.005
900	0.005
901	0.005
903	0.01
910	0.015
912	0.005
918	0.025
920	0.01
924	0.005
931	0.005
935	0.01
936	0.02
940	0.03
945	0.01
949	0.01
950	0.005
952	0.005
954	0.01
960	0.075
966	0.01
968	0.005
969	0.01
972	0.015
975	0.005
987	0.01
990	0.01
992	0.005
1005	0.005
1008	0.005
1010	0.005
1016	0.005
1022	0.01
1025	0.01
1026	0.005
1032	0.01
1034	0.005
1036	0.045
1040	0.015
1045	0.005
1050	0.03
1060	0.005
1070	0.005
1071	0.01
1078	0.005
1080	0.005
1088	0.01
1095	0.005
1099	0.015
1100	0.01
1104	0.01
1110	0.03
1113	0.03
1116	0.005
1120	0.005
1125	0.02
1134	0.005
1144	0.01
1148	0.005
1155	0.01
1166	0.005
1168	0.005
1170	0.005
1178	0.005
1184	0.07
1188	0.02
1204	0.005
1210	0.005
1212	0.005
1215	0.005
1216	0.005
1235	0.005
1242	0.005
1245	0.005
1254	0.01
1260	0.015
1273	0.01
1274	0.005
1275	0.035
1280	0.015
1288	0.005
1290	0.005
1292	0.005
1298	0.005
1300	0.01
1305	0.005
1309	0.005
1314	0.005
1326	0.01
1332	0.01
1352	0.01
1358	0.005
1359	0.005
1360	0.005
1364	0.005
1368	0.05
1378	0.005
1400	0.005
1408	0.015
1419	0.01
1426	0.005
1430	0.005
1431	0.05
1440	0.025
1449	0.005
1457	0.005
1470	0.005
1485	0.01
1494	0.005
1495	0.005
1496	0.005
1512	0.01
1530	0.005
1533	0.005
1534	0.005
1536	0.005
1547	0.01
1548	0.02
1575	0.005
1584	0.01
1593	0.015
1595	0.005
1600	0.065
1605	0.005
1606	0.01
1617	0.005
1620	0.005
1632	0.005
1650	0.015
1656	0.005
1664	0.005
1672	0.005
1674	0.005
1677	0.005
1690	0.03
1696	0.005
1702	0.005
1705	0.005
1710	0.005
1716	0.005
1728	0.01
1738	0.005
1746	0.01
1750	0.005
1752	0.005
1760	0.085
1776	0.01
1798	0.005
1830	0.005
1836	0.005
1872	0.01
1881	0.005
1908	0.005
1920	0.005
1925	0.005
1935	0.02
1947	0.005
1953	0.005
1971	0.01
1976	0.01
1980	0.02
1995	0.01
2006	0.005
2014	0.005
2033	0.005
2041	0.005
2044	0.005
2046	0.005
2067	0.02
2070	0.005
2090	0.005
2109	0.01
2128	0.005
2135	0.005
2145	0.005
2160	0.005
2163	0.005
2190	0.01
2193	0.005
2198	0.005
2204	0.005
2205	0.005
2225	0.005
2232	0.005
2235	0.005
2242	0.005
2244	0.005
2250	0.005
2261	0.005
2263	0.005
2265	0.005
2304	0.02
2336	0.005
2340	0.005
2355	0.005
2356	0.005
2368	0.01
2376	0.005
2385	0.065
2409	0.005
2470	0.005
2482	0.005
2484	0.005
2496	0.005
2500	0.005
2516	0.005
2527	0.005
2555	0.005
2560	0.01
2576	0.005
2604	0.005
2620	0.005
2628	0.005
2640	0.01
2650	0.005
2682	0.005
2688	0.005
2700	0.02
2703	0.01
2709	0.025
2728	0.005
2745	0.005
2774	0.005
2832	0.01
2838	0.005
2860	0.005
2862	0.005
2869	0.01
2891	0.005
2925	0.005
2929	0.005
2944	0.005
2960	0.01
2983	0.015
3066	0.005
3069	0.005
3072	0.01
3127	0.005
3150	0.005
3162	0.005
3172	0.005
3182	0.005
3200	0.015
3212	0.005
3290	0.005
3304	0.015
3354	0.015
3375	0.005
3410	0.005
3431	0.005
3478	0.01
3504	0.005
3577	0.005
3584	0.005
3596	0.005
3612	0.005
3650	0.005
