% naca0021 region sizes
regionsize	frequency
3720	0.005
3808	0.005
3854	0.005
3894	0.005
3900	0.005
3968	0.005
3978	0.005
4004	0.005
4029	0.005
4128	0.005
4134	0.005
4316	0.005
4360	0.005
4366	0.02
4386	0.015
4453	0.005
4515	0.01
4611	0.005
4628	0.005
4636	0.005
4752	0.005
4784	0.005
4818	0.005
4840	0.005
4864	0.02
4891	0.015
4896	0.005
5000	0.005
5120	0.005
5252	0.005
5289	0.005
5418	0.005
5472	0.005
5475	0.005
5547	0.01
5580	0.005
5661	0.005
5767	0.005
5883	0.005
5928	0.005
6351	0.005
6400	0.005
6405	0.01
6527	0.005
6656	0.005
6696	0.005
6710	0.005
6784	0.015
7040	0.005
7200	0.005
7300	0.005
7488	0.005
7560	0.005
7592	0.005
7808	0.01
7992	0.005
8320	0.005
8568	0.005
9159	0.01
9216	0.005
9271	0.05
